;;;Kraftr‰der;;;;;Personenkraftwagen ;;;;;;;;;;;;"Kraft-
omni-
busse";Lastkraftwagen ;;;;;;;;;Zugmaschinen;;;;"Sonstige
Kfz";"Nutzfahr-
zeuge
insgesamt
";Kraftfahrzeuge;;"Kraftfahr-
zeug-
anh‰nger"
SACHSEN INSGESAMT;;;189.313;183.880;1.145;4.288;19.993;2.178.531;893.163;1.055.346;221.728;8.294;41.511;256.488;19.723;1.235;213.016;779.471;535;3.548;206.514;89.385;86.222;5.578;7.752;4.320;5.129;8.091;37;67.513;10.278;48.202;7.673;17.211;294.786;2.662.630;654;386.232
SACHSEN-ANHALT;;15001  DESSAU-ROSSLAU,STADT              ;2.993;2.920;23;50;371;42.195;17.603;20.396;4.058;138;871;3.668;360;49;3.689;15.682;527;24;3.092;1.350;1.322;77;141;58;63;80;1;612;265;283;38;247;3.975;49.163;614;6.209
;;15002  HALLE (SAALE),STADT              ;5.749;5.597;62;90;617;95.490;39.783;45.891;9.434;382;1.840;7.931;627;93;10.803;32.252;400;191;7.272;3.361;3.222;103;215;95;90;184;2;690;325;277;95;464;8.617;109.856;460;10.092
;;15003  MAGDEBURG, STADT                 ;6.056;5.907;53;96;640;112.204;45.198;55.149;11.371;486;2.378;9.464;799;141;13.791;38.794;472;71;8.727;3.894;3.702;178;371;119;206;248;9;807;307;377;90;1.214;10.819;129.079;543;11.879
;;15081  ALTMARKKREIS SALZWEDEL           ;4.457;4.290;25;142;524;50.986;18.604;26.708;5.530;144;756;5.506;527;19;3.313;19.324;613;190;5.343;2.391;2.396;96;146;99;83;130;2;4.162;158;3.399;223;697;10.392;65.835;792;17.234
;;15082  ANHALT-BITTERFELD                ;7.401;7.133;35;233;833;93.266;38.619;45.310;9.124;213;1.640;8.527;567;54;7.534;35.014;588;325;8.702;3.750;3.510;222;327;181;406;305;1;3.135;680;2.173;321;893;13.055;113.722;718;20.843
;;15083  BOERDE                           ;9.358;8.976;58;324;1.031;106.720;42.471;53.045;10.884;320;1.921;10.502;913;43;7.426;40.827;624;137;10.417;4.791;4.264;211;354;192;237;365;3;5.657;1.498;3.672;489;1.114;17.325;133.403;780;26.808
;;15084  BURGENLANDKREIS                  ;9.289;8.937;41;311;1.030;102.470;42.288;50.352;9.560;270;1.775;10.640;656;44;7.789;37.850;573;188;9.897;4.331;4.059;279;399;159;299;370;1;4.917;676;3.579;636;961;15.963;127.722;714;20.929
;;15085  HARZ                             ;10.084;9.625;50;409;1.164;123.982;51.208;60.109;12.264;401;2.380;14.228;1.157;55;9.017;46.030;581;228;11.420;5.404;4.437;251;449;209;220;446;4;4.497;828;3.169;713;872;17.017;151.083;708;25.222
;;15086  JERICHOWER LAND                  ;4.869;4.683;21;165;583;54.938;21.015;27.441;6.352;130;1.155;5.565;483;31;4.118;20.954;613;107;5.847;2.625;2.434;104;217;139;136;190;2;2.790;674;1.864;247;701;9.445;69.252;773;15.947
;;15087  MANSFELD-SUEDHARZ                ;7.530;7.054;42;434;797;80.001;32.325;40.112;7.363;201;1.418;9.618;471;36;6.069;28.914;593;145;7.065;3.010;3.140;191;246;93;125;259;1;4.104;350;3.252;826;733;12.047;99.578;738;16.198
;;15088  SAALEKREIS                       ;10.461;10.072;83;306;1.141;115.240;45.646;57.469;11.840;285;2.254;11.355;765;70;9.809;43.230;627;139;11.914;4.760;4.966;248;543;358;340;695;4;4.034;1.058;2.534;465;1.199;17.286;142.987;778;24.027
;;15089  SALZLANDKREIS                    ;8.871;8.602;50;219;1.048;105.753;43.549;51.965;10.041;198;1.931;9.396;657;52;7.485;39.059;559;147;9.156;4.153;3.793;190;356;158;166;336;4;3.493;796;2.400;411;848;13.644;128.268;678;21.176
;;15090  STENDAL                          ;5.212;4.970;15;227;634;63.921;23.301;33.592;6.850;178;1.073;6.688;539;57;5.300;23.648;575;220;7.040;3.466;2.812;124;221;68;141;208;-;3.967;297;3.277;273;769;11.996;81.129;730;18.781
;;15091  WITTENBERG                       ;6.861;6.610;34;217;773;75.678;30.542;37.072;7.888;176;1.422;7.622;664;25;5.572;28.451;606;85;7.605;3.375;3.236;161;265;143;204;221;-;3.626;600;2.580;324;687;12.003;94.542;757;22.125
SACHSEN-ANHALT INSGESAMT;;;99.191;95.376;592;3.223;11.186;1.222.844;492.152;604.611;122.559;3.522;22.814;120.710;9.185;769;101.715;450.029;557;2.197;113.497;50.661;47.293;2.435;4.250;2.071;2.716;4.037;34;46.491;8.512;32.836;5.151;11.399;173.584;1.495.619;681;257.470
SCHLESWIG-HOLSTEIN;;01001  FLENSBURG,STADT                  ;2.854;2.795;12;47;381;45.029;17.196;20.599;6.905;329;1.770;4.266;1.369;35;6.008;15.273;499;81;2.614;1.201;1.146;46;79;35;27;80;-;574;279;246;37;240;3.509;51.392;570;5.378
;;01002  KIEL,STADT                       ;8.270;8.101;65;104;1.165;112.203;45.765;50.627;15.018;793;4.194;8.883;3.307;100;15.898;39.080;455;903;8.167;3.921;3.126;116;270;141;340;251;2;958;314;543;66;834;10.862;131.335;532;11.199
;;01003  LUEBECK,STADT                    ;8.287;8.128;64;95;1.152;101.141;40.581;46.336;13.603;621;4.350;9.089;2.070;87;11.820;35.794;467;214;7.468;3.215;3.295;137;246;123;157;294;1;1.544;829;566;82;652;9.878;119.306;551;13.984
;;01004  NEUMUENSTER,STADT                ;3.398;3.303;36;59;460;43.234;16.695;20.219;5.906;414;1.976;3.791;774;25;5.590;14.777;539;50;3.641;1.231;1.781;71;114;76;69;299;-;763;361;303;25;356;4.810;51.442;641;7.165
;;01051  DITHMARSCHEN                     ;7.998;7.656;56;286;1.159;83.189;29.214;39.628;13.820;527;3.429;8.692;1.973;184;4.980;29.938;625;81;6.672;2.798;3.186;50;221;46;101;264;6;8.107;1.170;5.757;226;811;15.671;106.858;802;23.728
;;01053  HERZOGTUM LAUENBURG              ;11.225;10.892;101;232;1.627;119.647;43.891;56.275;18.663;818;6.267;13.261;2.580;46;7.085;44.904;604;82;8.776;3.637;3.780;99;391;166;99;598;6;5.069;551;3.665;301;926;14.853;145.725;736;24.589
;;01054  NORDFRIESLAND                    ;9.753;9.348;67;338;1.300;105.675;35.786;48.733;20.002;1.154;5.010;13.678;3.313;58;7.517;38.159;637;183;11.017;4.454;5.645;101;257;112;147;297;4;8.546;309;7.006;281;1.659;21.405;136.833;825;30.442
;;01055  OSTHOLSTEIN                      ;12.803;12.394;102;307;1.802;129.347;50.300;58.605;19.753;689;7.095;14.465;3.254;72;8.134;49.411;645;68;8.921;4.010;4.023;89;267;91;200;236;5;5.832;568;4.212;366;1.024;15.845;157.995;788;26.474
;;01056  PINNEBERG                        ;15.577;15.236;136;205;2.205;179.634;69.989;80.573;27.719;1.353;9.878;19.039;4.121;11;16.170;66.531;568;92;13.837;5.285;6.171;185;629;589;591;384;3;5.239;487;3.847;206;948;20.116;215.327;681;27.283
;;01057  PLOEN                            ;7.885;7.621;57;207;1.126;81.531;31.861;36.617;12.496;557;3.948;8.314;2.539;25;4.381;31.439;634;107;5.542;2.307;2.713;60;139;58;103;162;-;4.322;249;3.290;205;639;10.610;100.026;777;17.168
;;01058  RENDSBURG-ECKERNFOERDE           ;15.934;15.403;114;417;2.147;176.281;64.002;83.734;27.347;1.198;8.360;18.101;5.068;13;11.121;65.748;643;108;12.847;4.816;6.456;228;468;174;232;472;1;10.393;567;8.068;423;1.549;24.897;217.112;792;38.807
;;01059  SCHLESWIG-FLENSBURG              ;12.271;11.736;78;457;1.666;130.539;44.400;62.763;22.473;903;5.877;13.998;4.367;43;8.377;47.381;649;197;10.399;4.565;4.715;88;304;111;185;425;6;10.899;1.354;7.926;291;1.081;22.576;165.386;822;37.400
;;01060  SEGEBERG                         ;15.862;15.378;148;336;2.211;170.514;63.687;79.137;26.412;1.278;8.851;18.911;4.132;19;15.976;63.719;615;73;12.846;4.942;5.958;288;716;216;211;511;4;6.941;1.018;4.867;289;1.171;21.031;207.407;748;32.206
;;01061  STEINBURG                        ;8.576;8.184;61;331;1.197;82.743;31.569;38.470;12.242;462;3.640;7.732;2.040;16;5.765;29.479;632;102;6.019;2.361;2.835;65;194;85;115;357;7;5.366;376;4.242;188;579;12.066;103.385;789;19.833
;;01062  STORMARN                         ;13.419;13.126;104;189;1.917;154.400;55.884;72.545;24.732;1.239;9.186;17.844;3.382;55;17.786;56.058;632;30;12.491;4.541;6.127;175;710;332;241;356;9;4.599;873;3.022;221;1.571;18.691;186.510;764;24.361
SCHLESWIG-HOLSTEIN INSGESAMT;;;154.112;149.301;1.201;3.610;21.515;1.715.107;640.820;794.861;267.091;12.335;83.831;180.064;44.289;789;146.608;627.691;591;2.371;131.257;53.284;60.957;1.798;5.005;2.355;2.818;4.986;54;79.152;9.305;57.560;3.207;14.040;226.820;2.096.039;722;340.017
THUERINGEN;;16051  ERFURT, STADT                    ;7.249;7.050;50;149;865;98.570;37.923;49.226;10.876;545;2.182;11.478;912;65;12.382;33.254;461;76;9.072;4.274;3.399;284;386;178;224;326;1;1.264;273;797;237;1.141;11.553;117.372;549;11.561
;;16052  GERA, STADT                      ;2.877;2.795;14;68;310;46.036;19.066;22.315;4.508;147;897;5.168;377;29;4.131;16.360;494;65;3.403;1.502;1.459;98;145;55;86;57;1;749;76;535;111;226;4.443;53.356;573;5.480
;;16053  JENA, STADT                      ;3.216;3.152;13;51;326;45.528;17.199;23.449;4.619;261;772;5.640;497;16;5.369;15.027;409;69;3.090;1.535;1.166;82;113;73;68;52;1;470;43;350;76;276;3.905;52.649;473;4.342
;;16054  SUHL, STADT                      ;1.709;1.655;9;45;173;20.401;8.478;9.734;2.132;57;363;3.793;215;9;1.724;7.245;555;41;1.645;630;795;52;67;34;28;39;-;395;42;250;145;123;2.204;24.314;661;2.943
;;16055  WEIMAR, STADT                    ;2.164;2.114;10;40;267;31.433;12.201;14.410;3.132;1.690;691;3.242;299;15;4.751;10.814;482;44;2.099;954;925;59;70;37;41;13;-;300;16;218;63;165;2.608;36.205;555;3.182
;;16056  EISENACH, STADT                  ;1.572;1.502;17;53;175;21.213;8.667;10.165;2.274;107;486;2.551;260;20;2.359;7.273;502;80;1.623;686;715;39;60;15;29;76;3;412;96;252;72;174;2.289;25.074;593;3.441
;;16061  EICHSFELD                        ;5.357;4.982;22;353;556;60.558;22.512;30.858;6.980;208;1.147;7.912;500;19;3.495;20.710;606;91;7.336;3.051;3.119;212;340;144;172;295;3;4.611;681;3.206;734;552;12.590;78.505;785;14.006
;;16062  NORDHAUSEN                       ;3.987;3.796;19;172;482;47.462;18.664;23.690;4.959;149;997;5.752;411;20;3.520;16.923;569;86;3.826;1.580;1.660;156;162;82;68;117;1;2.374;215;1.888;445;482;6.768;58.217;698;10.468
;;16063  WARTBURGKREIS                    ;7.311;6.844;43;424;730;74.256;29.367;36.666;7.985;238;1.513;11.075;842;24;4.210;27.260;624;88;6.155;2.420;2.806;198;285;104;104;234;4;5.373;387;4.007;797;572;12.188;93.755;788;16.538
;;16064  UNSTRUT-HAINICH-KREIS            ;5.096;4.808;31;257;536;57.121;21.824;28.863;6.224;210;1.185;6.746;516;24;3.704;19.839;559;121;6.874;3.015;2.869;159;274;129;186;240;2;3.434;327;2.480;522;577;11.006;73.223;716;13.751
;;16065  KYFFHAEUSERKREIS                 ;4.369;4.079;19;271;468;44.458;17.744;22.338;4.261;115;792;4.980;304;8;2.756;15.939;599;77;3.814;1.742;1.607;133;155;48;67;62;-;3.244;136;2.646;557;440;7.575;56.402;760;9.604
;;16066  SCHMALKALDEN-MEININGEN           ;7.004;6.703;28;273;681;76.545;29.464;38.643;8.183;255;1.457;13.697;828;30;5.457;28.111;613;136;7.820;2.988;3.495;259;403;184;191;298;2;4.744;346;3.330;670;655;13.355;96.904;776;17.169
;;16067  GOTHA                            ;6.356;6.054;42;260;666;76.608;29.982;38.035;8.345;246;1.698;9.965;787;28;5.869;28.111;568;131;7.502;3.034;3.253;256;323;101;190;341;4;3.218;320;2.307;659;739;11.590;94.554;701;15.800
;;16068  SOEMMERDA                        ;3.932;3.656;38;238;431;40.673;16.013;20.314;4.253;93;732;4.494;331;26;2.671;14.789;586;62;4.690;1.939;2.000;143;228;90;67;220;3;2.549;206;1.992;395;394;7.695;52.300;753;9.995
;;16069  HILDBURGHAUSEN                   ;3.773;3.591;23;159;355;39.379;15.304;20.222;3.755;98;632;6.293;364;5;1.836;15.020;623;78;3.837;1.562;1.657;136;180;76;107;119;-;3.454;117;2.508;377;333;7.702;50.854;805;10.686
;;16070  ILM-KREIS                        ;5.535;5.326;33;176;674;59.092;23.344;29.136;6.277;335;1.014;9.165;590;25;4.323;21.214;556;96;5.376;2.193;2.468;173;212;71;106;151;2;2.649;279;1.863;451;496;8.617;73.244;689;11.754
;;16071  WEIMARER-LAND                    ;4.993;4.756;31;206;567;48.697;19.679;23.825;5.018;175;912;6.032;478;12;3.127;18.245;593;106;5.874;2.475;2.576;176;261;122;113;151;-;3.076;147;2.438;464;426;9.482;63.172;769;10.888
;;16072  SONNEBERG                        ;3.214;3.096;13;105;371;34.930;15.118;16.391;3.325;96;598;7.009;203;24;2.132;13.087;605;53;2.852;1.108;1.299;84;141;60;57;103;-;1.849;134;1.236;226;236;4.990;43.134;747;6.635
;;16073  SAALFELD-RUDOLSTADT              ;6.228;5.972;30;226;595;60.606;25.195;29.353;5.906;152;1.023;9.800;534;25;3.213;21.967;587;215;6.152;2.528;2.829;198;233;74;106;183;1;4.322;176;3.060;522;509;11.198;78.032;756;13.896
;;16074  SAALE-HOLZLANDKREIS              ;4.765;4.584;19;162;508;49.635;20.145;24.306;5.032;152;838;6.427;503;25;2.941;18.572;598;114;5.061;2.159;2.146;131;222;97;128;178;-;4.050;330;2.978;425;498;9.723;64.123;773;11.621
;;16075  SAALE-ORLA-KREIS                 ;4.914;4.708;16;190;506;50.658;21.011;24.755;4.761;131;770;7.104;413;25;4.172;18.638;631;29;5.623;2.164;2.607;165;208;109;136;233;1;5.233;300;3.651;370;486;11.371;66.943;834;15.333
;;16076  GREIZ                            ;5.829;5.623;25;181;630;60.226;25.033;28.991;6.059;143;1.149;7.916;515;14;4.175;22.747;618;84;7.212;2.868;3.017;236;322;182;250;335;2;4.213;535;2.967;369;645;12.154;78.209;803;14.186
;;16077  ALTENBURGER LAND                 ;4.844;4.723;31;90;491;51.465;21.730;24.950;4.663;122;881;4.781;368;18;3.692;18.640;576;90;4.766;2.063;1.909;168;224;99;122;178;3;1.737;293;1.261;160;419;7.012;63.321;708;10.371
TH‹RINGEN INSGESAMT;;;106.294;101.569;576;4.149;11.363;1.195.550;475.663;590.635;123.527;5.725;22.729;161.020;11.047;506;92.009;429.785;560;2.032;115.702;48.470;49.776;3.597;5.014;2.164;2.646;4.001;34;63.720;5.475;46.220;8.847;10.564;192.018;1.493.862;700;243.650
SONSTIGE;;;3.806;3.751;17;38;11;40.706;10.250;22.123;7.990;343;1.881;6.821;426;83;5.906;234;-;72;1.375;339;718;53;42;29;137;55;2;758;22;386;17;8.286;10.491;55.003;-;6.568
DEUTSCHLAND INSGESAMT;;;4.661.561;4.507.484;48.316;105.760;618.977;48.248.584;17.615.368;23.496.629;6.819.830;316.757;2.220.044;5.933.026;674.697;21.816;5.147.620;16.637.983;580;75.548;3.410.280;1.298.135;1.582.735;52.818;174.969;68.586;82.142;149.681;1.214;2.301.166;218.469;1.554.730;114.651;322.952;6.109.946;59.020.091;710;7.867.929
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Hinweis zu ""Hubraum unbekannt"": Einschlieﬂlich Fahrzeuge mit Rotationskolbenmotor und Elektromotor.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
© Kraftfahrt-Bundesamt, Flensburg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
