;;;Kraftr‰der;;;;;Personenkraftwagen ;;;;;;;;;;;;"Kraft-
omni-
busse";Lastkraftwagen ;;;;;;;;;Zugmaschinen;;;;"Sonstige
Kfz";"Nutzfahr-
zeuge
insgesamt
";Kraftfahrzeuge;;"Kraftfahr-
zeug-
anh‰nger"
;;09180  GARMISCH-PARTENKIRCHEN           ;7.723;7.530;69;124;1.018;52.791;18.809;25.137;8.513;332;2.224;12.249;1.761;35;6.312;19.364;597;40;3.727;1.402;1.965;30;111;30;74;115;-;4.731;55;3.617;154;352;8.850;69.364;784;9.047
;;09181  LANDSBERG AM LECH                ;11.878;11.486;166;226;1.687;82.970;26.698;41.766;13.531;975;4.804;12.312;2.025;19;8.632;28.699;690;123;4.643;1.529;2.436;59;185;80;105;248;1;7.810;200;5.114;189;460;13.036;107.884;897;16.954
;;09182  MIESBACH                         ;8.960;8.697;73;190;1.170;66.809;21.257;32.446;12.616;490;4.175;18.525;1.477;20;7.347;24.066;668;51;4.830;1.747;2.387;45;188;69;131;260;3;5.049;174;3.860;210;449;10.379;86.148;861;10.888
;;09183  MUEHLDORF A.INN                  ;9.871;9.315;114;442;1.289;75.643;25.034;38.166;11.951;492;3.373;10.982;1.178;27;6.060;25.248;653;128;5.229;1.720;2.626;53;226;116;153;331;4;9.119;268;7.380;243;583;15.059;100.573;868;17.101
;;09184  MUENCHEN                         ;23.232;22.766;296;170;3.277;240.563;64.245;124.378;48.958;2.982;15.672;52.574;3.775;32;65.784;67.679;686;390;18.739;6.928;8.880;296;883;337;544;863;8;5.071;677;3.416;208;1.879;26.079;289.874;827;22.337
;;09185  NEUBURG-SCHROBENHAUSEN           ;9.380;8.937;154;289;1.291;66.293;20.727;34.707;10.478;381;2.996;9.752;951;18;5.629;20.934;681;83;4.547;1.420;2.254;64;238;76;169;323;3;7.980;398;5.314;241;472;13.082;88.755;912;16.738
;;09186  PFAFFENHOFEN A.D.ILM             ;12.715;12.227;161;327;1.726;85.058;25.781;44.464;14.149;664;4.228;13.370;1.221;22;6.136;27.397;663;55;5.698;1.554;3.062;58;278;143;184;416;3;9.398;608;6.912;289;478;15.629;113.402;884;18.882
;;09187  ROSENHEIM                        ;22.581;21.843;291;447;3.078;173.318;59.306;84.296;28.277;1.439;8.582;31.119;3.856;23;17.056;61.390;663;169;12.041;4.172;6.160;105;528;227;311;535;3;16.052;982;11.632;340;1.012;29.274;225.173;862;33.352
;;09188  STARNBERG                        ;10.583;10.340;138;105;1.437;88.503;26.387;42.203;18.821;1.092;7.697;18.854;1.866;28;11.696;31.352;648;71;5.053;1.849;2.606;53;192;59;112;182;-;3.402;143;2.243;100;509;9.035;108.121;791;12.914
;;09189  TRAUNSTEIN                       ;15.109;14.614;128;367;1.914;117.902;40.541;58.775;17.673;913;5.348;20.071;2.594;44;9.017;40.330;665;139;7.524;2.545;3.722;55;352;122;190;534;4;13.727;548;10.136;291;936;22.326;155.337;876;24.631
;;09190  WEILHEIM-SCHONGAU                ;12.406;11.998;138;270;1.695;89.347;30.805;43.714;14.167;661;4.136;14.865;2.713;29;7.030;31.346;659;70;5.769;2.030;2.934;60;272;68;107;297;1;10.435;176;7.410;221;516;16.790;118.543;875;18.128
