;;;Kraftr‰der;;;;;Personenkraftwagen ;;;;;;;;;;;;"Kraftomni-
busse";Lastkraftwagen ;;;;;;;;;Zugmaschinen;;;;"Sonstige
Kfz";"Nutzfahr-
zeuge
insgesamt
";Kraftfahrzeuge;;"Kraftfahrzeug-
anh‰nger"
BADEN-W‹RTEMBERG INSGESAMT;;;784.427;763.428;10.763;10.236;110.879;6.970.720;2.349.935;3.313.864;1.037.506;269.415;358.398;1.115.609;148.275;2.783;872.039;2.342.716;615;9.697;456.869;147.958;239.016;4.929;23.177;8.110;11.885;21.572;222;402.161;26.026;279.945;96.190;39.025;907.752;8.662.899;764;1.158.827
BAYERN;RB OBERBAYERN;09161 INGOLSTADT,STADT;9.012;8.823;118;71;1.090;104.096;28.611;51.960;15.972;7.553;4.029;27.726;1.515;44;37.266;22.941;731;237;4.169;1.379;2.251;34;181;75;75;171;3;1.650;173;1.213;264;677;6.733;119.841;842;9.622
;;09162 MUENCHEN,STADT;73.604;72.022;1.163;419;9.771;766.143;202.043;396.250;127.195;40.655;42.761;168.038;15.002;279;243.716;196.683;507;1.510;51.885;15.404;31.861;228;1.920;552;639;1.265;16;4.834;709;3.649;476;5.206;63.435;903.182;598;43.394
;;09163 ROSENHEIM,STADT;4.021;3.927;58;36;573;36.244;12.021;17.243;5.805;1.175;1.474;6.722;929;40;5.733;12.149;556;30;2.733;900;1.448;36;98;49;74;127;1;682;20;543;119;490;3.935;44.200;678;4.090
;;09171 ALTOETTING;10.042;9.690;128;224;1.393;75.100;23.926;37.426;11.020;2.728;3.525;12.290;1.736;44;6.379;25.590;656;119;4.941;1.649;2.638;23;175;59;105;290;2;6.372;248;5.142;982;597;12.029;97.171;849;16.234
;;09172 BERCHTESGADENER LAND;9.306;9.065;96;145;1.197;68.076;25.016;31.820;9.313;1.927;2.523;16.174;1.947;25;6.792;23.146;629;112;4.435;1.548;2.297;55;153;109;106;167;-;5.238;111;4.011;1.116;520;10.305;87.687;810;11.385
;;09173 BAD TOELZ-WOLFRATSHAUSEN;11.674;11.352;148;174;1.655;82.722;27.403;39.111;13.374;2.834;4.067;19.361;2.783;28;8.291;29.731;635;33;6.757;2.122;3.837;47;231;79;135;304;2;7.196;140;5.595;1.461;649;14.635;109.031;838;15.281
;;09174 DACHAU;14.293;13.868;224;201;2.087;96.670;31.392;46.435;15.381;3.462;5.268;16.429;2.369;26;8.779;32.872;613;153;7.655;2.334;4.136;52;321;183;204;422;3;6.692;459;5.108;1.125;618;15.118;126.081;799;17.389
;;09175 EBERSBERG;11.491;11.147;182;162;1.598;89.323;27.956;43.065;14.273;4.029;5.097;17.093;2.284;12;9.803;30.700;605;215;6.181;1.914;3.323;50;235;128;165;365;1;5.998;336;4.973;689;525;12.919;113.733;771;13.015
;;09176 EICHSTAETT;13.531;13.007;220;304;1.616;89.172;29.017;45.237;11.879;3.039;3.855;16.175;2.000;28;5.649;26.651;653;114;5.178;1.677;2.706;48;221;92;157;274;3;10.699;409;8.357;1.933;603;16.594;119.297;874;21.742
