;;;Krafträder;;;;;Personenkraftwagen ;;;;;;;;;;;;"Kraft-
omni-
busse";Lastkraftwagen ;;;;;;;;;Zugmaschinen;;;;"Sonstige
Kfz";"Nutzfahr-
zeuge
insgesamt
";Kraftfahrzeuge;;"Kraftfahr-
zeug-
anhänger"
;;05570  WARENDORF;15.056;14.667;134;255;2.010;176.360;64.504;84.190;25.278;2.388;7.837;18.477;2.997;76;15.226;61.166;636;223;10.173;3.461;5.178;130;546;150;213;490;5;10.218;1.476;7.507;1.235;1.040;21.654;213.070;768;33.726
;RB ZUSAMMEN;;131.099;127.562;1.368;2.169;18.168;1.539.747;584.333;726.146;208.931;20.337;70.048;153.185;26.208;643;137.273;541.442;587;2.620;97.497;32.347;49.564;1.313;5.363;1.830;2.461;4.593;26;59.367;10.628;41.617;7.122;8.632;168.116;1.838.962;701;249.551
;RB DETMOLD                       ;05711  BIELEFELD,STADT;12.685;12.395;120;170;1.750;176.926;66.452;82.320;24.545;3.609;7.958;18.114;2.771;74;22.686;61.733;530;251;11.044;4.174;4.999;134;577;330;336;492;2;1.990;596;1.175;219;769;14.054;203.665;611;17.051
;;05754  GUETERSLOH;19.306;18.737;188;381;2.390;234.701;83.841;112.317;35.127;3.416;11.182;25.423;3.592;69;23.261;82.207;643;413;17.629;6.306;8.217;223;995;369;690;826;3;10.732;2.611;6.690;1.431;1.253;30.027;284.034;779;44.755
;;05758  HERFORD;13.734;13.442;88;204;1.920;164.914;65.051;74.997;22.462;2.404;7.987;17.129;2.419;47;13.993;61.040;658;217;10.446;3.711;5.073;104;587;191;210;569;1;4.855;1.004;3.111;740;703;16.221;194.869;778;26.969
;;05762  HOEXTER;8.523;8.140;86;297;1.028;91.326;33.875;44.295;12.060;1.096;3.850;10.779;1.306;49;5.139;31.335;654;150;5.834;1.924;2.805;67;352;94;177;414;1;7.678;523;5.823;1.332;610;14.272;114.121;817;20.152
;;05766  LIPPE;19.432;18.902;140;390;2.534;219.811;82.679;102.466;31.631;3.035;10.765;23.873;3.868;85;18.953;80.409;634;485;13.050;5.015;6.192;177;636;204;333;492;1;7.297;1.015;5.076;1.206;1.089;21.921;261.164;753;38.688
;;05770  MINDEN-LUEBBECKE;16.604;16.130;112;362;2.170;206.251;76.579;97.132;29.879;2.661;9.056;21.889;2.907;82;16.447;74.110;665;206;14.894;5.129;6.481;181;896;346;604;1.252;5;10.379;1.283;7.318;1.778;1.355;26.834;249.689;805;40.246
;;05774  PADERBORN;15.641;15.136;146;359;1.971;187.201;66.961;90.601;26.295;3.344;8.197;20.464;2.961;78;16.728;64.255;607;316;12.363;3.985;6.268;161;711;342;267;624;5;9.460;1.560;6.478;1.422;1.017;23.156;225.998;733;31.585
;RB ZUSAMMEN;;105.925;102.882;880;2.163;13.763;1.281.130;475.438;604.128;181.999;19.565;58.995;137.671;19.824;484;117.207;455.089;624;2.038;85.260;30.244;40.035;1.047;4.754;1.876;2.617;4.669;18;52.391;8.592;35.671;8.128;6.796;146.485;1.533.540;747;219.446
;RB ARNSBERG                      ;05911  BOCHUM,STADT;16.425;16.096;162;167;2.290;211.173;92.891;92.548;22.843;2.891;9.734;19.917;2.281;87;38.577;69.611;579;202;16.683;4.939;10.018;288;768;151;210;293;16;1.219;441;696;82;798;18.902;246.500;676;15.223
;;05913  DORTMUND,STADT;23.887;23.330;249;308;3.283;297.919;119.875;137.343;36.970;3.731;14.115;29.378;3.363;168;28.704;106.224;507;439;16.631;5.929;7.844;316;869;447;450;774;2;2.462;1.331;974;157;1.097;20.629;342.435;583;26.951
;;05914  HAGEN,STADT;9.078;8.830;94;154;1.291;99.899;40.933;45.526;12.529;911;4.880;10.812;1.117;60;8.714;34.755;529;242;5.806;2.103;2.722;63;305;126;171;316;-;1.272;587;559;126;498;7.818;116.795;619;8.723
;;05915  HAMM,STADT;7.570;7.356;86;128;954;99.702;39.483;46.136;12.916;1.167;4.435;9.451;1.289;39;7.842;35.146;557;236;5.612;1.769;2.731;61;344;104;225;378;-;1.933;482;1.202;249;373;8.154;115.426;645;13.671
;;05916  HERNE,STADT;6.621;6.474;69;78;972;78.821;33.860;35.320;9.078;563;3.623;6.257;705;36;5.667;28.699;502;175;4.574;1.871;2.252;44;204;55;75;70;3;375;167;187;21;356;5.480;90.922;579;6.149
;;05954  ENNEPE-RUHR-KREIS;21.569;21.101;199;269;3.289;201.765;83.408;90.196;25.746;2.415;12.595;24.979;3.158;107;16.694;76.614;624;397;11.011;3.984;5.208;154;695;223;300;443;4;3.617;670;2.454;493;821;15.846;239.180;740;21.958
;;05958  HOCHSAUERLANDKREIS;14.724;14.144;146;434;1.863;170.729;64.778;82.271;21.484;2.196;7.030;26.370;2.742;72;14.592;57.245;659;433;11.520;3.763;5.717;154;601;277;304;697;7;10.109;981;7.678;1.450;1.026;23.088;208.541;805;32.805
;;05962  MAERKISCHER KREIS;22.667;21.962;240;465;3.246;256.494;103.613;117.434;33.008;2.439;13.253;34.315;3.817;98;18.887;90.774;628;504;14.044;5.191;6.312;167;835;305;501;728;5;6.615;1.084;4.602;929;1.205;22.368;301.529;738;31.625
;;05966  OLPE;8.067;7.819;66;182;961;91.117;35.325;43.653;11.108;1.031;4.044;14.856;1.127;36;8.636;29.632;683;93;6.821;2.005;3.712;72;394;92;193;348;5;5.182;518;3.778;886;488;12.584;111.768;838;15.605
;;05970  SIEGEN-WITTGENSTEIN;15.478;15.028;130;320;1.996;178.233;72.039;82.457;21.692;2.045;8.158;26.704;2.445;86;19.533;58.518;647;231;10.441;3.337;5.141;122;666;252;292;628;3;9.623;1.081;6.250;2.292;898;21.193;214.904;780;28.311
;;05974  SOEST;17.300;16.852;133;315;2.324;194.461;73.300;92.254;25.984;2.923;9.109;21.297;3.388;67;13.459;70.443;646;204;11.403;3.695;5.930;124;651;251;283;466;3;9.295;1.556;6.652;1.087;1.237;22.139;233.900;777;36.737
;;05978  UNNA;22.128;21.599;254;275;3.327;242.552;98.096;111.574;30.102;2.780;12.063;23.393;3.745;98;17.663;90.092;616;282;12.726;4.303;6.008;176;818;393;401;621;6;4.097;1.040;2.608;449;1.095;18.200;282.880;719;30.676
;RB ZUSAMMEN;;185.514;180.591;1.828;3.095;25.796;2.122.865;857.601;976.712;263.460;25.092;103.039;247.729;29.177;954;198.968;747.753;594;3.438;127.272;42.889;63.595;1.741;7.150;2.676;3.405;5.762;54;55.799;9.938;37.640;8.221;9.892;196.401;2.504.780;701;268.434
NORDRHEIN-WESTFALEN INSGESAMT;;;900.264;876.114;10.061;14.089;124.160;10.422.671;4.025.101;4.857.186;1.407.465;132.919;543.614;1.153.744;156.061;4.543;1.095.841;3.676.208;581;17.151;736.470;288.743;337.982;11.328;39.314;14.019;16.268;28.536;280;271.161;50.889;183.464;36.808;54.895;1.079.677;12.402.612;692;1.343.885
RHEINLAND-PFALZ;RB KOBLENZ                       ;07111  KOBLENZ,STADT;4.929;4.781;73;75;664;64.409;23.305;32.140;8.225;739;3.463;7.330;824;26;12.003;20.378;568;295;4.824;1.643;2.140;60;323;110;97;451;-;1.017;369;511;137;416;6.552;75.890;669;6.375
;;07131  AHRWEILER;8.925;8.526;83;316;1.211;85.929;32.183;41.219;11.715;812;5.109;10.898;1.279;45;6.218;30.399;659;225;6.205;2.223;3.069;70;345;75;128;294;1;5.960;444;3.906;1.610;537;12.927;107.781;826;15.343
;;07132  ALTENKIRCHEN(WESTWLD.);9.320;8.943;85;292;1.323;85.341;33.465;40.006;10.967;903;4.105;12.391;1.258;34;6.722;29.715;661;378;5.621;1.772;3.028;44;295;102;125;255;-;5.352;299;3.688;1.365;513;11.864;106.525;825;16.630
;;07133  BAD KREUZNACH;10.448;9.957;121;370;1.453;102.107;36.642;49.487;14.913;1.065;6.111;12.393;1.378;29;7.702;36.661;643;130;7.857;2.083;3.493;102;625;500;301;750;3;7.341;567;5.377;1.397;706;16.034;128.589;810;19.623
;;07134  BIRKENFELD;5.090;4.769;54;267;649;52.870;19.813;25.823;6.840;394;2.626;7.734;647;14;3.738;18.340;654;122;3.201;1.048;1.704;33;138;40;74;163;1;3.275;94;2.532;649;350;6.948;64.908;803;12.107
;;07135  COCHEM-ZELL;5.062;4.757;35;270;644;42.187;13.867;21.927;5.902;491;2.372;6.138;537;33;2.449;13.916;685;92;2.985;844;1.595;64;194;70;65;153;-;5.778;163;3.952;1.663;321;9.176;56.425;916;10.425
;;07137  MAYEN-KOBLENZ;14.138;13.521;196;421;1.874;141.583;51.998;68.799;19.220;1.566;8.691;18.014;1.869;41;10.815;49.766;659;131;9.627;3.140;4.788;73;534;315;278;496;3;6.698;813;4.616;1.269;715;17.171;172.892;805;24.845
;;07138  NEUWIED;12.307;11.848;139;320;1.714;122.552;43.986;59.706;17.543;1.317;7.298;16.324;1.851;14;10.910;43.170;669;146;8.410;2.983;4.189;82;456;118;173;405;4;5.629;671;3.679;1.279;711;14.896;149.755;818;20.961
;;07140  RHEIN-HUNSRUECK-KREIS;7.555;7.097;75;383;986;71.825;23.862;37.317;9.802;844;3.555;10.018;1.056;33;5.963;24.017;695;391;5.257;1.577;2.750;45;363;81;100;341;-;7.279;483;5.054;1.742;490;13.417;92.797;897;17.974
;;07141  RHEIN-LAHN-KREIS;9.244;8.774;112;358;1.272;81.272;30.617;38.933;10.820;902;4.392;10.719;1.311;17;5.124;28.972;663;113;4.928;1.674;2.631;63;260;47;79;170;4;5.001;129;3.538;1.334;555;10.597;101.113;825;15.008
;;07143  WESTERWALDKREIS;14.474;13.848;212;414;2.003;139.566;51.304;67.383;19.324;1.555;7.117;21.869;1.983;74;12.290;48.257;688;223;10.220;3.117;5.492;89;619;154;295;450;4;8.752;830;5.898;2.024;867;20.062;174.102;858;27.565
;RB ZUSAMMEN;;101.492;96.821;1.185;3.486;13.793;989.641;361.042;482.740;135.271;10.588;54.839;133.828;13.993;360;83.934;343.591;659;2.246;69.135;22.104;34.879;725;4.152;1.612;1.715;3.928;20;62.082;4.862;42.751;14.469;6.181;139.644;1.230.777;820;186.856
;RB TRIER                         ;07211  TRIER-SAARBURG;17.228;16.502;204;522;2.227;156.505;51.465;80.671;22.116;2.253;8.914;21.745;1.992;83;12.402;55.534;599;332;10.185;3.612;4.969;124;600;153;215;509;3;10.374;399;7.206;2.769;906;21.797;195.530;749;25.714
;;07231  BERNKASTEL-WITTLICH;7.827;7.332;118;377;1.001;76.409;25.165;40.074;10.338;832;3.859;9.896;994;24;5.518;25.786;678;180;5.814;1.697;3.128;95;287;118;125;362;2;9.613;373;6.574;2.666;608;16.215;100.451;891;18.181
;;07232  EIFELKREIS BITBURG-PRUEM;8.149;7.558;85;506;1.019;68.210;19.208;37.657;10.610;735;3.116;11.525;835;29;4.718;23.097;682;198;5.447;1.857;2.710;48;298;89;95;348;2;10.593;242;8.595;1.756;716;16.954;93.313;933;17.560
;;07233  VULKANEIFEL;5.122;4.747;50;325;677;42.378;14.123;22.057;5.785;413;1.913;6.622;629;30;2.678;13.831;701;134;3.356;1.108;1.649;53;200;43;72;227;4;5.934;207;4.414;1.313;351;9.775;57.275;947;11.273
;RB ZUSAMMEN;;38.326;36.139;457;1.730;4.924;343.502;109.961;180.459;48.849;4.233;17.802;49.788;4.450;166;25.316;118.248;643;844;24.802;8.274;12.456;320;1.385;403;507;1.446;11;36.514;1.221;26.789;8.504;2.581;64.741;446.569;836;72.728
;RB RHEINHESSEN-PFALZ             ;07311  FRANKENTHAL(PFALZ),STADT;2.288;2.230;33;25;274;26.965;9.531;13.192;4.020;222;1.381;2.755;233;3;2.639;9.517;553;26;1.625;587;848;10;86;26;23;45;-;561;232;286;43;126;2.338;31.591;648;2.635
;;07312  KAISERSLAUTERN,STADT;3.712;3.596;53;63;467;49.648;18.111;24.237;6.602;698;2.670;5.593;525;51;5.608;16.975;498;117;2.962;1.190;1.335;62;197;48;52;78;-;539;84;368;87;295;3.913;57.273;575;4.850
;;07313  LANDAU I.D.PFALZ,STADT;2.492;2.451;22;19;356;27.970;10.302;13.249;3.999;420;1.615;2.888;464;7;3.487;10.256;599;-;1.778;598;840;23;179;29;58;51;-;895;60;682;153;192;2.865;33.327;714;3.266
;;07314  LUDWIGSHAFEN A.RH.,STADT;7.035;6.773;172;90;846;84.669;30.094;41.195;12.456;924;3.821;9.157;695;85;10.653;26.926;491;284;5.440;2.044;2.605;119;355;101;98;113;5;830;363;416;51;580;7.134;98.838;573;6.325
;;07315  MAINZ,STADT;7.735;7.533;121;81;1.015;101.280;36.013;49.463;14.395;1.409;5.631;11.684;1.211;151;15.698;33.850;466;1.166;5.878;2.162;2.767;113;333;129;141;232;1;1.111;229;733;149;849;9.004;118.019;544;6.817
;;07316  NEUSTADT A.D.WSTR.,STADT;2.917;2.837;38;42;378;33.364;11.749;15.972;5.206;437;2.256;3.679;499;5;3.643;11.997;626;6;2.350;799;1.128;22;148;19;58;175;1;1.165;119;872;174;175;3.696;39.977;750;3.931
;;07317  PIRMASENS,STADT;1.795;1.711;26;58;219;23.209;8.783;11.075;3.102;249;1.330;2.886;212;17;2.828;8.348;578;24;1.616;626;718;21;105;32;47;67;-;426;65;295;66;173;2.239;27.243;678;3.149
;;07318  SPEYER,STADT;2.819;2.727;62;30;420;29.686;10.684;14.097;4.579;326;1.716;3.197;463;7;3.718;11.113;585;15;1.818;645;889;42;92;33;38;78;1;295;85;151;59;161;2.289;34.794;686;3.313
;;07319  WORMS,STADT;4.116;3.964;65;87;501;46.360;17.051;21.719;7.116;474;2.558;4.735;506;15;4.349;15.731;555;21;3.100;1.041;1.506;58;214;78;73;130;-;1.349;345;853;151;239;4.709;55.185;661;6.022
;;07320  ZWEIBRUECKEN,STADT;1.951;1.890;18;43;311;21.425;8.005;10.388;2.769;263;1.057;2.488;270;21;1.877;7.793;630;28;1.374;489;686;17;74;35;37;35;1;553;97;376;80;219;2.174;25.550;751;3.525
;;07331  ALZEY-WORMS;9.702;9.354;105;243;1.348;87.526;30.688;42.388;13.378;1.072;5.076;9.756;1.332;8;5.161;31.767;670;23;5.737;1.838;3.012;94;358;84;122;228;1;7.426;248;6.399;779;560;13.746;110.974;849;15.047
;;07332  BAD DUERKHEIM;9.612;9.330;108;174;1.334;92.141;32.215;43.923;14.750;1.253;6.766;11.311;1.485;15;5.632;35.037;693;128;5.057;1.743;2.519;64;343;124;130;132;2;4.563;373;3.634;556;442;10.190;111.943;842;13.823
;;07333  DONNERSBERGKREIS;5.719;5.444;66;209;821;51.184;17.429;25.823;7.367;565;2.696;6.292;688;16;3.151;18.539;678;100;2.889;1.098;1.391;42;153;41;66;97;1;3.824;150;2.749;925;335;7.148;64.051;848;11.011
;;07334  GERMERSHEIM;8.995;8.766;133;96;1.280;84.031;28.738;41.166;13.225;902;4.320;8.921;1.178;22;5.942;29.722;651;74;5.329;1.901;2.399;64;351;108;136;368;2;4.473;686;2.647;1.140;476;10.352;103.378;801;15.370
;;07335  KAISERSLAUTERN;7.216;6.921;100;195;873;69.647;24.527;34.354;10.025;741;3.716;9.025;871;23;3.797;25.632;655;159;4.682;1.447;2.331;57;394;109;119;223;2;3.065;135;2.353;577;386;8.292;85.155;801;15.151
;;07336  KUSEL;5.165;4.860;59;246;730;47.902;17.677;23.646;6.215;364;2.357;6.409;737;12;1.599;17.714;683;20;2.449;885;1.257;35;151;25;37;59;-;3.617;33;2.662;922;269;6.355;59.422;848;11.870
;;07337  SUEDLICHE WEINSTRASSE;8.987;8.708;94;185;1.234;78.235;27.046;37.842;12.308;1.039;4.857;8.900;1.426;16;5.193;28.517;706;221;5.319;1.778;2.647;89;373;84;132;216;-;7.692;232;5.991;1.469;555;13.787;101.009;912;13.847
;;07338  RHEIN-PFALZ-KREIS;11.474;11.175;185;114;1.581;102.928;36.543;49.309;15.968;1.108;6.859;11.194;1.498;3;5.470;38.717;665;60;6.020;2.103;2.887;59;383;132;187;267;2;3.585;749;2.357;479;425;10.090;124.492;804;14.218
;;07339  MAINZ-BINGEN;14.643;14.156;194;293;1.978;143.469;49.760;69.050;22.694;1.965;8.718;16.437;2.172;23;16.277;50.732;678;86;7.971;2.785;4.150;65;516;113;119;221;2;7.745;457;5.940;1.348;696;16.498;174.610;825;19.732
;;07340  SUEDWESTPFALZ;8.077;7.709;79;289;1.104;67.917;24.014;34.213;9.035;655;3.847;9.395;1.096;17;3.097;24.938;716;180;3.755;1.385;1.873;31;228;38;94;106;-;4.522;142;3.295;1.085;258;8.715;84.709;893;14.736
;RB ZUSAMMEN;;126.450;122.135;1.733;2.582;17.070;1.269.556;448.960;616.301;189.209;15.086;73.247;146.702;17.561;517;109.819;453.821;615;2.738;77.149;27.144;37.788;1.087;5.033;1.388;1.767;2.921;21;58.236;4.884;43.059;10.293;7.411;145.534;1.541.540;747;188.638
RHEINLAND-PFALZ INSGESAMT;;;266.268;255.095;3.375;7.798;35.787;2.602.699;919.963;1.279.500;373.329;29.907;145.888;330.318;36.004;1.043;219.069;915.660;635;5.828;171.086;57.522;85.123;2.132;10.570;3.403;3.989;8.295;52;156.832;10.967;112.599;33.266;16.173;349.919;3.218.886;785;448.222
SAARLAND;;10041  SAARBRUECKEN,STADTVERB.;18.453;17.913;266;274;2.527;192.940;74.250;91.637;25.166;1.887;11.450;21.366;2.130;98;19.053;70.605;589;504;13.108;4.657;6.506;191;846;243;268;395;2;2.296;374;1.516;406;1.045;16.953;228.346;697;24.170
;;10042  MERZIG-WADERN;7.334;6.988;92;254;988;72.679;24.487;37.293;10.201;698;4.145;10.532;981;22;4.412;27.228;702;176;4.327;1.392;2.289;54;286;64;79;162;1;4.765;268;3.482;1.015;414;9.682;89.695;867;15.556
;;10043  NEUNKIRCHEN;8.557;8.210;133;214;1.199;87.245;34.619;41.209;10.624;793;4.917;10.206;1.021;11;5.918;32.964;665;138;5.344;1.714;2.820;93;304;74;108;230;1;1.966;158;1.397;411;358;7.806;103.608;790;15.288
;;10044  SAARLOUIS;13.019;12.559;158;302;1.648;134.354;50.557;65.513;17.021;1.263;7.831;14.757;1.585;42;8.620;50.294;694;208;7.738;2.601;3.726;89;455;136;298;430;3;4.043;485;2.801;757;747;12.736;160.109;826;21.777
;;10045  SAAR-PFALZ-KREIS;9.445;9.166;118;161;1.327;98.681;37.083;47.331;13.202;1.065;6.058;11.901;1.342;138;8.176;37.494;697;135;6.130;1.987;3.000;81;537;89;178;253;5;2.954;479;1.849;626;500;9.719;117.845;832;17.730
;;10046  SANKT WENDEL;7.336;7.037;76;223;906;62.369;23.372;30.566;7.831;600;3.374;8.512;951;23;3.739;22.700;721;34;3.390;1.192;1.695;47;215;52;58;126;5;3.662;155;2.560;947;300;7.386;77.091;892;13.939
SAARLAND INSGESAMT;;;64.144;61.873;843;1.428;8.595;648.268;244.368;313.549;84.045;6.306;37.775;77.274;8.010;334;49.918;241.285;659;1.195;40.037;13.543;20.036;555;2.643;658;989;1.596;17;19.686;1.919;13.605;4.162;3.364;64.282;776.694;789;108.460
SACHSEN;RB CHEMNITZ                      ;14511  CHEMNITZ, STADT;8.933;8.709;66;158;959;126.382;53.745;58.920;12.497;1.220;2.346;15.038;1.251;155;16.629;43.985;517;137;10.728;4.566;4.686;220;347;190;264;453;2;1.387;447;883;57;923;13.175;148.490;608;13.458
;;14521  ERZGEBIRGSKREIS;22.367;21.779;97;491;2.159;203.063;89.643;94.069;18.302;1.049;3.036;39.606;1.753;25;16.494;72.920;612;399;20.113;8.671;8.518;699;717;329;515;662;2;7.954;687;6.640;627;1.488;29.954;255.384;769;35.949
;;14522  MITTELSACHSEN;18.781;18.241;104;436;1.888;180.151;75.418;85.793;17.973;967;3.060;23.137;1.850;58;15.606;65.512;598;404;18.758;7.653;8.010;484;850;446;545;768;2;8.427;1.027;6.887;513;1.587;29.176;228.108;757;39.382
;;14523  VOGTLANDKREIS;13.094;12.731;54;309;1.501;137.193;58.520;63.964;13.771;938;2.888;22.569;1.290;165;12.814;50.756;613;198;14.350;5.979;6.137;445;560;290;360;577;2;6.699;720;5.206;773;1.139;22.386;172.673;771;27.314
;;14524  ZWICKAU;17.530;17.106;90;334;1.809;186.314;81.912;85.797;17.144;1.461;3.887;21.795;1.738;19;16.551;68.906;597;267;18.076;7.387;7.711;544;647;338;474;975;-;5.820;1.476;3.890;454;1.296;25.459;229.303;735;30.785
;RB ZUSAMMEN;;80.705;78.566;411;1.728;8.316;833.103;359.238;388.543;79.687;5.635;15.217;122.145;7.882;422;78.094;302.079;589;1.405;82.025;34.256;35.062;2.392;3.121;1.593;2.158;3.435;8;30.287;4.357;23.506;2.424;6.433;120.150;1.033.958;731;146.888
;RB DRESDEN                       ;14612  DRESDEN, STADT;16.760;16.360;199;201;1.886;232.009;89.490;114.318;26.058;2.143;5.380;25.309;3.362;196;32.327;76.323;417;376;20.039;8.551;8.861;430;741;394;420;640;2;1.418;409;926;83;1.660;23.493;272.262;489;23.095
;;14625  BAUTZEN;17.016;16.437;107;472;1.768;182.041;72.278;90.724;18.034;1.005;3.103;20.341;1.775;85;15.106;67.964;611;341;18.329;7.856;7.817;520;685;370;431;648;2;8.409;848;6.881;680;1.576;28.655;227.712;764;41.099
;;14626  GOERLITZ;13.471;13.136;53;282;1.410;143.721;59.238;69.870;14.020;593;2.183;15.859;1.334;86;12.245;52.826;574;273;13.669;6.167;5.558;361;537;218;302;523;3;6.496;929;5.058;509;1.310;21.748;178.940;714;31.784
;;14627  MEISSEN;12.272;11.929;69;274;1.269;139.610;54.346;68.573;15.853;838;3.030;14.627;1.565;95;11.701;50.922;581;212;15.259;6.369;6.311;428;591;333;430;794;3;5.280;940;3.896;444;1.362;22.113;173.995;724;30.339
;;14628  SAECHS.SCHWEIZ-OSTERZGEB.;14.417;13.945;113;359;1.537;144.837;58.657;69.783;15.449;948;2.909;21.751;1.845;102;13.581;52.553;592;399;15.079;6.143;6.670;528;566;372;364;429;7;5.559;337;4.904;318;1.193;22.230;181.484;742;29.361
;RB ZUSAMMEN;;73.936;71.807;541;1.588;7.870;842.218;334.009;413.268;89.414;5.527;16.605;97.887;9.881;564;84.960;300.588;530;1.601;82.375;35.086;35.217;2.267;3.120;1.687;1.947;3.034;17;27.162;3.463;21.665;2.034;7.101;118.239;1.034.393;651;155.678
;RB LEIPZIG                       ;14713  LEIPZIG, STADT                   ;15.414;15.064;145;205;1.803;234.324;92.350;112.982;26.172;2.820;5.058;22.623;2.939;160;28.144;80.559;392;299;18.043;8.512;7.645;272;578;280;256;497;3;1.497;506;929;62;1.641;21.480;271.218;454;23.720
;;14729  LEIPZIG                          ;14.876;14.439;88;349;1.674;155.719;61.228;76.474;16.775;1.242;3.651;16.068;1.585;70;13.314;59.449;603;268;16.337;7.027;6.978;316;654;394;384;579;5;5.900;1.097;4.326;477;1.278;23.783;194.378;752;37.811
;;14730  NORDSACHSEN                      ;11.312;10.913;69;330;1.329;117.291;46.223;58.011;12.365;692;1.999;11.640;1.087;54;9.417;43.735;594;208;13.452;5.485;5.991;283;480;243;389;580;1;5.202;782;4.017;403;1.199;20.061;148.664;753;33.567
;RB ZUSAMMEN;;41.602;40.416;302;884;4.806;507.334;199.801;247.467;55.312;4.754;10.708;50.331;5.611;284;50.875;183.743;482;775;47.832;21.024;20.614;871;1.712;917;1.029;1.656;9;12.599;2.385;9.272;942;4.118;65.324;614.260;583;95.098
SACHSEN INSGESAMT;;;196.243;190.789;1.254;4.200;20.992;2.182.655;893.048;1.049.278;224.413;15.916;42.530;270.363;23.374;1.270;213.929;786.410;538;3.781;212.232;90.366;90.893;5.530;7.953;4.197;5.134;8.125;34;70.048;10.205;54.443;5.400;17.652;303.713;2.682.611;661;397.664
SACHSEN-ANHALT;;15001  DESSAU-ROSSLAU,STADT;3.037;2.973;21;43;379;41.994;17.513;20.122;4.056;303;863;3.876;413;56;3.715;15.740;529;34;3.162;1.350;1.388;75;145;60;59;83;2;734;336;359;39;247;4.177;49.208;620;6.354
;;15002  HALLE (SAALE),STADT;5.963;5.803;69;91;659;95.746;39.855;45.812;9.368;711;1.854;8.506;716;98;11.047;32.524;403;193;7.401;3.473;3.279;98;211;86;84;168;2;736;349;346;41;466;8.796;110.505;465;10.280
;;15003  MAGDEBURG, STADT;6.294;6.150;50;94;689;112.237;45.154;54.835;11.344;904;2.349;10.138;930;141;13.845;39.111;476;83;8.862;3.954;3.822;169;369;118;194;230;6;854;320;465;69;1.277;11.076;129.607;550;12.220
;;15081  ALTMARKKREIS SALZWEDEL;4.614;4.457;28;129;555;50.923;18.481;26.508;5.617;317;779;5.793;628;17;3.374;19.429;616;196;5.546;2.402;2.573;93;149;102;85;141;1;4.210;156;3.637;417;714;10.666;66.203;801;17.750
;;15082  ANHALT-BITTERFELD;7.660;7.382;47;231;882;92.920;38.503;44.837;9.137;443;1.690;9.079;662;58;7.589;35.102;591;343;8.910;3.796;3.680;216;338;169;387;322;2;3.259;697;2.386;176;913;13.425;114.005;725;21.414
;;15083  BOERDE;9.688;9.304;66;318;1.083;106.934;42.232;53.030;11.019;653;1.938;11.180;1.072;45;7.468;41.106;627;136;10.702;4.843;4.532;203;348;185;230;359;2;5.749;1.452;4.031;266;1.089;17.676;134.298;787;27.721
;;15084  BURGENLANDKREIS;9.663;9.301;46;316;1.102;102.463;42.227;50.130;9.601;505;1.785;11.238;771;47;7.847;38.188;577;178;10.223;4.389;4.295;288;412;162;297;379;1;5.183;737;4.048;398;984;16.568;128.694;725;21.660
;;15085  HARZ;10.329;9.893;51;385;1.197;124.090;51.082;59.729;12.347;932;2.400;14.943;1.347;56;9.277;46.460;588;239;11.782;5.507;4.692;252;440;205;239;443;4;4.686;825;3.576;285;882;17.589;152.008;721;26.067
;;15086  JERICHOWER LAND;5.032;4.858;25;149;611;54.513;20.821;26.959;6.392;341;1.173;5.928;537;30;4.225;20.978;610;112;5.909;2.596;2.538;96;219;121;144;193;2;2.837;593;2.115;129;721;9.579;69.124;773;16.320
;;15087  MANSFELD-SUEDHARZ;7.657;7.203;42;412;832;79.822;32.282;39.738;7.425;377;1.407;10.127;589;35;6.080;29.060;597;172;7.326;3.043;3.335;177;265;103;135;267;1;4.320;343;3.726;251;734;12.552;100.031;748;16.694
;;15088  SAALEKREIS;10.985;10.582;92;311;1.209;115.431;45.676;57.233;11.888;634;2.266;12.144;875;75;9.951;43.537;629;141;12.116;4.775;5.241;232;540;341;336;644;7;4.161;1.043;2.930;188;1.249;17.667;144.083;785;24.947
;;15089  SALZLANDKREIS;9.208;8.933;63;212;1.101;105.452;43.278;51.579;10.120;475;1.931;9.989;797;53;7.569;39.259;563;141;9.542;4.306;4.030;186;367;158;159;332;4;3.622;791;2.683;148;854;14.159;128.819;687;21.835
;;15090  STENDAL;5.334;5.091;19;224;658;63.895;23.240;33.371;6.914;370;1.094;7.010;624;58;5.391;23.854;578;225;7.274;3.535;2.994;112;223;61;137;212;-;4.068;302;3.564;202;781;12.348;81.577;738;19.403
;;15091  WITTENBERG;7.139;6.871;39;229;808;75.667;30.306;37.005;7.996;360;1.438;8.096;775;28;5.589;28.608;609;89;7.811;3.397;3.412;162;274;150;206;210;-;3.805;617;2.881;307;696;12.401;95.207;767;22.737
SACHSEN-ANHALT INSGESAMT;;;102.603;98.801;658;3.144;11.765;1.222.087;490.650;600.888;123.224;7.325;22.967;128.047;10.736;797;102.967;452.956;560;2.282;116.566;51.366;49.811;2.359;4.300;2.021;2.692;3.983;34;48.224;8.561;36.747;2.916;11.607;178.679;1.503.369;689;265.402
SCHLESWIG-HOLSTEIN;;01001  FLENSBURG,STADT;2.942;2.884;13;45;385;45.488;17.335;20.505;6.897;751;1.783;4.539;1.489;35;6.190;15.538;506;81;2.707;1.213;1.231;48;78;30;24;82;1;591;290;279;22;238;3.617;52.047;579;5.507
